request_id,request_time,origin_zone,destination_zone
r0000001,8,cz1,cz1
r0000002,25,cz1,cz1
r0000003,43,cz1,cz1
r0000004,60,cz1,cz1
r0000005,77,cz1,cz1
r0000006,94,cz1,cz1
r0000007,111,cz1,cz1
r0000008,129,cz1,cz1
r0000009,146,cz1,cz1
r0000010,163,cz1,cz1
r0000011,180,cz1,cz1
r0000012,198,cz1,cz1
r0000013,215,cz1,cz1
r0000014,232,cz1,cz1
r0000015,249,cz1,cz1
r0000016,266,cz1,cz1
r0000017,284,cz1,cz1
r0000018,301,cz1,cz2
r0000019,318,cz1,cz2
r0000020,335,cz1,cz2
r0000021,353,cz1,cz2
r0000022,370,cz1,cz2
r0000023,387,cz1,cz2
r0000024,404,cz1,cz2
r0000025,422,cz1,cz2
r0000026,439,cz1,cz2
r0000027,456,cz1,cz2
r0000028,473,cz1,cz2
r0000029,490,cz1,cz2
r0000030,508,cz1,cz2
r0000031,525,cz1,cz3
r0000032,542,cz1,cz3
r0000033,559,cz1,cz3
r0000034,577,cz1,cz3
r0000035,594,cz1,cz3
r0000036,611,cz1,cz3
r0000037,628,cz1,cz3
r0000038,645,cz1,cz3
r0000039,663,cz1,cz3
r0000040,680,cz1,cz3
r0000041,697,cz1,cz3
r0000042,714,cz1,cz3
r0000043,732,cz1,cz3
r0000044,749,cz1,cz3
r0000045,766,cz1,cz3
r0000046,783,cz1,cz3
r0000047,800,cz1,cz3
r0000048,818,cz1,cz4
r0000049,835,cz1,cz4
r0000050,852,cz1,cz4
r0000051,869,cz1,cz4
r0000052,887,cz1,cz4
r0000053,904,cz1,cz4
r0000054,921,cz1,cz4
r0000055,938,cz1,cz4
r0000056,955,cz1,cz4
r0000057,973,cz1,cz4
r0000058,990,cz1,cz4
r0000059,1007,cz1,cz4
r0000060,1024,cz2,cz1
r0000061,1042,cz2,cz1
r0000062,1059,cz2,cz1
r0000063,1076,cz2,cz1
r0000064,1093,cz2,cz1
r0000065,1111,cz2,cz1
r0000066,1128,cz2,cz1
r0000067,1145,cz2,cz1
r0000068,1162,cz2,cz1
r0000069,1179,cz2,cz1
r0000070,1197,cz2,cz1
r0000071,1214,cz2,cz1
r0000072,1231,cz2,cz1
r0000073,1248,cz2,cz2
r0000074,1266,cz2,cz2
r0000075,1283,cz2,cz2
r0000076,1300,cz2,cz2
r0000077,1317,cz2,cz2
r0000078,1334,cz2,cz2
r0000079,1352,cz2,cz2
r0000080,1369,cz2,cz2
r0000081,1386,cz2,cz2
r0000082,1403,cz2,cz2
r0000083,1421,cz2,cz2
r0000084,1438,cz2,cz2
r0000085,1455,cz2,cz2
r0000086,1472,cz2,cz3
r0000087,1489,cz2,cz3
r0000088,1507,cz2,cz3
r0000089,1524,cz2,cz3
r0000090,1541,cz2,cz3
r0000091,1558,cz2,cz3
r0000092,1576,cz2,cz3
r0000093,1593,cz2,cz3
r0000094,1610,cz2,cz3
r0000095,1627,cz2,cz3
r0000096,1644,cz2,cz3
r0000097,1662,cz2,cz3
r0000098,1679,cz2,cz3
r0000099,1696,cz2,cz4
r0000100,1713,cz2,cz4
r0000101,1731,cz2,cz4
r0000102,1748,cz2,cz4
r0000103,1765,cz2,cz4
r0000104,1782,cz2,cz4
r0000105,1800,cz2,cz4
r0000106,1817,cz2,cz4
r0000107,1834,cz2,cz4
r0000108,1851,cz3,cz1
r0000109,1868,cz3,cz1
r0000110,1886,cz3,cz1
r0000111,1903,cz3,cz1
r0000112,1920,cz3,cz1
r0000113,1937,cz3,cz1
r0000114,1955,cz3,cz1
r0000115,1972,cz3,cz1
r0000116,1989,cz3,cz1
r0000117,2006,cz3,cz1
r0000118,2023,cz3,cz1
r0000119,2041,cz3,cz1
r0000120,2058,cz3,cz1
r0000121,2075,cz3,cz1
r0000122,2092,cz3,cz1
r0000123,2110,cz3,cz1
r0000124,2127,cz3,cz1
r0000125,2144,cz3,cz2
r0000126,2161,cz3,cz2
r0000127,2178,cz3,cz2
r0000128,2196,cz3,cz2
r0000129,2213,cz3,cz2
r0000130,2230,cz3,cz2
r0000131,2247,cz3,cz2
r0000132,2265,cz3,cz2
r0000133,2282,cz3,cz2
r0000134,2299,cz3,cz2
r0000135,2316,cz3,cz2
r0000136,2333,cz3,cz2
r0000137,2351,cz3,cz3
r0000138,2368,cz3,cz3
r0000139,2385,cz3,cz3
r0000140,2402,cz3,cz3
r0000141,2420,cz3,cz3
r0000142,2437,cz3,cz3
r0000143,2454,cz3,cz3
r0000144,2471,cz3,cz3
r0000145,2488,cz3,cz3
r0000146,2506,cz3,cz3
r0000147,2523,cz3,cz3
r0000148,2540,cz3,cz3
r0000149,2557,cz3,cz3
r0000150,2575,cz3,cz3
r0000151,2592,cz3,cz3
r0000152,2609,cz3,cz3
r0000153,2626,cz3,cz3
r0000154,2644,cz3,cz3
r0000155,2661,cz3,cz4
r0000156,2678,cz3,cz4
r0000157,2695,cz3,cz4
r0000158,2712,cz3,cz4
r0000159,2730,cz3,cz4
r0000160,2747,cz3,cz4
r0000161,2764,cz3,cz4
r0000162,2781,cz3,cz4
r0000163,2799,cz3,cz4
r0000164,2816,cz3,cz4
r0000165,2833,cz3,cz4
r0000166,2850,cz3,cz4
r0000167,2867,cz4,cz1
