request_id,request_time,origin_zone,destination_zone
r0000001,58,cz1,cz1
r0000002,174,cz1,cz1
r0000003,290,cz1,cz2
r0000004,406,cz1,cz2
r0000005,522,cz1,cz3
r0000006,638,cz1,cz3
r0000007,754,cz1,cz3
r0000008,870,cz1,cz4
r0000009,987,cz1,cz4
r0000010,1103,cz2,cz1
r0000011,1219,cz2,cz1
r0000012,1335,cz2,cz2
r0000013,1451,cz2,cz2
r0000014,1567,cz2,cz3
r0000015,1683,cz2,cz3
r0000016,1800,cz2,cz4
r0000017,1916,cz3,cz1
r0000018,2032,cz3,cz1
r0000019,2148,cz3,cz2
r0000020,2264,cz3,cz2
r0000021,2380,cz3,cz3
r0000022,2496,cz3,cz3
r0000023,2612,cz3,cz3
r0000024,2729,cz3,cz4
r0000025,2845,cz3,cz4
r0000026,2961,cz4,cz1
r0000027,3077,cz4,cz1
r0000028,3193,cz4,cz2
r0000029,3309,cz4,cz3
r0000030,3425,cz4,cz3
r0000031,3541,cz4,cz4
r0000032,3694,cz1,cz1
r0000033,3884,cz1,cz2
r0000034,4073,cz1,cz3
r0000035,4263,cz1,cz3
r0000036,4452,cz1,cz4
r0000037,4642,cz2,cz1
r0000038,4831,cz2,cz2
r0000039,5021,cz2,cz3
r0000040,5210,cz2,cz4
r0000041,5400,cz3,cz1
r0000042,5589,cz3,cz1
r0000043,5778,cz3,cz2
r0000044,5968,cz3,cz3
r0000045,6157,cz3,cz3
r0000046,6347,cz3,cz4
r0000047,6536,cz4,cz1
r0000048,6726,cz4,cz2
r0000049,6915,cz4,cz3
r0000050,7105,cz4,cz4
r0000051,7350,cz1,cz1
r0000052,7650,cz1,cz2
r0000053,7950,cz1,cz3
r0000054,8250,cz2,cz1
r0000055,8550,cz2,cz2
r0000056,8850,cz2,cz3
r0000057,9149,cz3,cz1
r0000058,9450,cz3,cz2
r0000059,9750,cz3,cz3
r0000060,10050,cz3,cz4
r0000061,10350,cz4,cz1
r0000062,10650,cz4,cz3
r0000063,11057,cz1,cz1
r0000064,11571,cz1,cz2
r0000065,12085,cz1,cz3
r0000066,12600,cz2,cz1
r0000067,13114,cz3,cz1
r0000068,13628,cz3,cz3
r0000069,14142,cz4,cz3
r0000070,14625,cz1,cz1
r0000071,15075,cz1,cz2
r0000072,15525,cz1,cz3
r0000073,15975,cz2,cz1
r0000074,16425,cz2,cz2
r0000075,16875,cz3,cz1
r0000076,17325,cz3,cz3
r0000077,17775,cz4,cz3
r0000078,18100,cz1,cz1
r0000079,18300,cz1,cz2
r0000080,18500,cz1,cz3
r0000081,18700,cz1,cz3
r0000082,18900,cz1,cz4
r0000083,19100,cz2,cz1
r0000084,19300,cz2,cz2
r0000085,19500,cz2,cz3
r0000086,19700,cz2,cz4
r0000087,19900,cz3,cz1
r0000088,20100,cz3,cz2
r0000089,20300,cz3,cz3
r0000090,20500,cz3,cz3
r0000091,20700,cz3,cz4
r0000092,20900,cz4,cz1
r0000093,21100,cz4,cz2
r0000094,21300,cz4,cz3
r0000095,21500,cz4,cz4
r0000096,21628,cz1,cz1
r0000097,21684,cz1,cz1
