hour,total_trips,prod_cz1,prod_cz2,prod_cz3,prod_cz4,attr_cz1,attr_cz2,attr_cz3,attr_cz4
0,2088.0,640.935502,268.432,724.155298,454.4772,624.961977,370.63659,677.606069,414.795364
1,1285.0,414.022678,108.81826,471.136366,291.022696,400.511286,191.659205,430.943191,261.886318
2,829.0,271.590879,58.77277,310.045459,188.590892,257.628738,123.88644,276.939398,170.545424
3,495.0,166.412862,41.11366,177.018942,110.454536,150.560571,89.93187,158.530307,95.977252
4,513.0,167.443161,64.704585,168.034088,112.818166,151.265116,104.045515,157.507575,100.181794
5,1190.0,349.446897,221.591045,375.098476,243.863582,336.628725,246.8865,363.439375,243.0454
6,4278.0,1219.405072,760.091395,1388.390091,910.113442,1155.81032,1035.68246,1223.780204,862.727016
7,12119.0,3334.230364,2353.56974,3851.427792,2579.772104,3128.366461,3518.729535,3093.245818,2378.658186
8,19600.0,5344.764042,3779.79793,6306.0072,4169.430828,5047.899866,5843.45844,4851.32507,3857.316624
9,19369.0,5347.082262,3742.502445,6143.416271,4135.999022,5145.161387,5566.36708,4895.518365,3761.953168
10,15696.0,4451.900645,3205.70653,4744.075437,3294.317388,4377.044442,4140.13862,4153.272386,3025.544552
11,16519.0,4695.544482,3735.88859,4708.022364,3379.544564,4676.0103,4068.41139,4534.192866,3240.385444
12,17104.0,4836.968675,4116.41143,4726.734467,3423.885428,4874.233765,3987.206865,4832.492116,3410.067254
13,17211.0,4873.411834,4271.86604,4648.518542,3417.203584,4896.915569,3882.002395,4929.332994,3502.749042
14,17631.0,4975.370099,4411.366145,4762.060214,3482.203542,5053.108762,3743.45684,5227.367134,3607.067264
15,19745.0,5543.699483,5074.23017,5244.662415,3882.407932,5662.661658,4054.366155,5973.518649,4054.453538
16,21257.0,5898.672801,5655.276065,5519.21156,4183.839574,6027.816817,4389.957325,6483.158788,4356.06707
17,22487.0,6205.032524,6088.98089,5786.578942,4406.407644,6428.449308,4402.98015,7006.162602,4649.40794
18,20862.0,5852.71826,5235.41231,5610.734354,4163.135076,6114.676747,3661.16136,6805.526437,4280.635456
19,15743.0,4492.123959,3606.752315,4418.124652,3225.999074,4622.419478,2760.13804,5155.147698,3205.294784
20,11100.0,3200.128067,2364.88796,3210.939157,2324.044816,3273.601581,2050.43306,3520.238583,2255.726776
21,9053.0,2626.62823,1764.887565,2744.189231,1917.294974,2686.457776,1729.50103,2801.791606,1835.249588
22,6691.0,1928.495787,1262.114505,2089.43551,1410.954198,1995.889728,1264.2962,2087.132552,1343.68152
23,3881.0,1159.571757,608.591295,1292.723466,820.113482,1171.003546,675.136755,1255.814401,779.045298
